RootID,Self-assessment,Root,mnemonics,"all derivativies ( Formula column, do not edit)",me- group,me -- kan,ber-,per- group,di-,ter-,ke-,-nya,-kan,se-,idion,peribahasa,Gabungan,synonym,turunan,#N/A,Spelling_L1,OtherLang,Level_LCC_L1,Level_OS_L1,Level_AKD_L1,CEFR,Root wihtout meaning,chatGPT-Find derivaties,kbbi url,wikitonary,word in original language,#N/A,#N/A
12,,ada -      (v) there is; there are; exist; have; po...,,"adanya -      (n) existence; like that; the fact is th...
berada -      (v) exist; there is/are
",,adanya -      (n) existence; like that; the fact is th...,berada -      (v) exist; there is/are,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,ada,Can you list all derivatives of the Indonesian root word ada,https://kbbi.kemdikbud.go.id/entri/ada,https://en.wiktionary.org/wiki/ada#Indonesian,,,
13,,akan -      (p) will; shall; on account of; concerni...,,"seakan -      (adv) as if; seemingly; similarly; quasi
seakan-akan -      (adv) as if; seemingly; similarly; quasi
",,seakan -      (adv) as if; seemingly; similarly; quasi,,,,,,,,seakan-akan -      (adv) as if; seemingly; similarly; quasi,,,,,,,BK,NotE,1000,1000,1000,A0,akan,Can you list all derivatives of the Indonesian root word akan,https://kbbi.kemdikbud.go.id/entri/akan,https://en.wiktionary.org/wiki/akan#Indonesian,,,
14,,dapat -      (v) get; obtain; (adv) can; be able to,,"mendapatkan -      (v) get; obtain; manage to obtain; get f...
",,mendapatkan -      (v) get; obtain; manage to obtain; get f...,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,dapat,Can you list all derivatives of the Indonesian root word dapat,https://kbbi.kemdikbud.go.id/entri/dapat,https://en.wiktionary.org/wiki/dapat#Indonesian,,,
15,,bagai,,"berbagai -      (v) being various; all kinds; all sorts;...
bagaimana -      (adv) how
sebagai -      as; similar to
",,,berbagai -      (v) being various; all kinds; all sorts;...,,bagaimana -      (adv) how,,,,,sebagai -      as; similar to,,,,,,,BK,NotE,1000,1000,1000,A0,bagai,Can you list all derivatives of the Indonesian root word bagai,https://kbbi.kemdikbud.go.id/entri/bagai,https://en.wiktionary.org/wiki/bagai#Indonesian,,,
16,0,juga -      (adv) too; else; (adv) still; yet; (adv)...,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,juga,Can you list all derivatives of the Indonesian root word juga,https://kbbi.kemdikbud.go.id/entri/juga,https://en.wiktionary.org/wiki/juga#Indonesian,,,
17,0,adalah -      am; are; is,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,adalah,Can you list all derivatives of the Indonesian root word adalah,https://kbbi.kemdikbud.go.id/entri/adalah,https://en.wiktionary.org/wiki/adalah#Indonesian,,,
18,0,ke -      (p) to; toward,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,ke,Can you list all derivatives of the Indonesian root word ke,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
19,,bisa -      (adj) able; capable; possible; can; may;...,,"bisa-bisa -      (p) it is possible; it can be done; can ...
berbisa -      (v) being poisonous; venomous
",bisa-bisa -      (p) it is possible; it can be done; can ...,,,,berbisa -      (v) being poisonous; venomous,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,bisa,Can you list all derivatives of the Indonesian root word bisa,https://kbbi.kemdikbud.go.id/entri/bisa,https://en.wiktionary.org/wiki/bisa#Indonesian,,,
20,,oleh -      (p) by means of; because of; by (X is do...,,"memperoleh -      (v) obtain; get; acquire; find; earn; ga...
perolehan -      (n) achievement; acquisition; attainment...
",memperoleh -      (v) obtain; get; acquire; find; earn; ga...,,,perolehan -      (n) achievement; acquisition; attainment...,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,oleh,Can you list all derivatives of the Indonesian root word oleh,https://kbbi.kemdikbud.go.id/entri/oleh,https://en.wiktionary.org/wiki/oleh#Indonesian,,,
21,,karena -      (conj) because,,"mengarenakan -      (v pass) caused by; because
dikarenakan

",mengarenakan -      (v pass) caused by; because,,,,dikarenakan,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,karena,Can you list all derivatives of the Indonesian root word karena,https://kbbi.kemdikbud.go.id/entri/karena,https://en.wiktionary.org/wiki/karena#Indonesian,,,
22,0,telah -      (adv) already; by now; (v base) predict;...,,"setelah -      (adv) after; subsequent to
",,,,,,,,,,setelah -      (adv) after; subsequent to,,,,,,,BK,NotE,1000,1000,1000,A0,telah,Can you list all derivatives of the Indonesian root word telah,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
23,,atau -      (p) or; nor,,"ataupun -      (p) or even; whether A or B
atawa -      (p) (colq) or
",,ataupun -      (p) or even; whether A or B,,,atawa -      (p) (colq) or,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,atau,Can you list all derivatives of the Indonesian root word atau,https://kbbi.kemdikbud.go.id/entri/atau,https://en.wiktionary.org/wiki/atau#Indonesian,,,
24,,lebih -      (adj) more; excess; greater than,,"terlebih -      (adv) especially; exceedingly
kelebihan -      (n) remainder; leftover; difference; exc...
",,,,,,terlebih -      (adv) especially; exceedingly,kelebihan -      (n) remainder; leftover; difference; exc...,,,,,,,,,,BK,NotE,1000,1000,1000,A0,lebih,Can you list all derivatives of the Indonesian root word lebih,https://kbbi.kemdikbud.go.id/entri/lebih,https://en.wiktionary.org/wiki/lebih#Indonesian,,,
25,0,saya -      I; my; me (formal),,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,saya,Can you list all derivatives of the Indonesian root word saya,https://kbbi.kemdikbud.go.id/entri/saya,https://en.wiktionary.org/wiki/saya#Indonesian,,,
26,,bagi -      (adv) for; regarding; in order to; in fa...,,"bagian -      (n) portion; part; department; share; al...
sebagian -      (adj) some; a part; a portion; partially...
",,bagian -      (n) portion; part; department; share; al...,,,,,,,,sebagian -      (adj) some; a part; a portion; partially...,,,,,,,BK,NotE,1000,1000,1000,A0,bagi,Can you list all derivatives of the Indonesian root word bagi,https://kbbi.kemdikbud.go.id/entri/bagi,https://en.wiktionary.org/wiki/bagi#Indonesian,,,
27,0,mereka,,"mereka -      they; their; them


",mereka -      they; their; them,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,mereka,Can you list all derivatives of the Indonesian root word mereka,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
28,0,sudah -      (v) already; done; finished,,"udah -      shortened form of ""sudah"" (already)
sesudah -      (adv) after; afterward; post
",,"udah -      shortened form of ""sudah"" (already)",,,,,,,,sesudah -      (adv) after; afterward; post,,,,,,,BK,SAN,1000,1000,1000,A0,sudah,Can you list all derivatives of the Indonesian root word sudah,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
29,0,kita,,"kita -      we (including the other party)


",kita -      we (including the other party),,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,kita,Can you list all derivatives of the Indonesian root word kita,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
30,0,cara -      (n) way; manner; method; procedure; proc...,,"secara -    = --ly in english-  in the manner of (converting adj into adverb)...
",,,,,,,,,,secara -    = --ly in english-  in the manner of (converting adj into adverb)...,,,,,,,BK,NotE,1000,1000,1000,A0,cara,Can you list all derivatives of the Indonesian root word cara,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
31,,banyak -      (adj) many; a lot; much; numerous; consi...,,"kebanyakan -      (n) quantity; majority; multitude; (adj)...
sebanyak -      (adv) as much as; as many as
",,,,,,,kebanyakan -      (n) quantity; majority; multitude; (adj)...,,,sebanyak -      (adv) as much as; as many as,,,,,,,BK,NotE,1000,1000,1000,A0,banyak,Can you list all derivatives of the Indonesian root word banyak,https://kbbi.kemdikbud.go.id/entri/banyak,https://en.wiktionary.org/wiki/banyak#Indonesian,,,
32,0,saat -      (n) moment; a point in time; a short tim...,,"sesaat -      (n) moment; momentary; awhile
",,,,,,,,,,sesaat -      (n) moment; momentary; awhile,,,,,,,BK,ARA,1000,1000,1000,A0,saat,Can you list all derivatives of the Indonesian root word saat,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
33,0,anda -      you; your (formal),,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,anda,Can you list all derivatives of the Indonesian root word anda,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
34,,belum -      haven't yet,,"sebelum -      before
sebelumnya -      (p) preceding; the previous; prior; befo...
",,,,,sebelum -      before,,,sebelumnya -      (p) preceding; the previous; prior; befo...,,,,,,,,,BK,NotE,1000,1000,1000,A0,belum,Can you list all derivatives of the Indonesian root word belum,https://kbbi.kemdikbud.go.id/entri/belum,https://en.wiktionary.org/wiki/belum#Indonesian,,,
35,,harus -      (adv) should; must,,"mengharuskan -      (v) require; necessitate; demand; compel...
seharusnya -      (adv) should; ought to; obliged to
",mengharuskan -      (v) require; necessitate; demand; compel...,,,,,,,,,seharusnya -      (adv) should; ought to; obliged to,,,,,,,BK,NotE,1000,1000,1000,A0,harus,Can you list all derivatives of the Indonesian root word harus,https://kbbi.kemdikbud.go.id/entri/harus,https://en.wiktionary.org/wiki/harus#Indonesian,,,
36,,seperti -      (p) such as; like; akin; as if; similar ...,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,seperti,Can you list all derivatives of the Indonesian root word seperti,https://kbbi.kemdikbud.go.id/entri/seperti,https://en.wiktionary.org/wiki/seperti#Indonesian,,,
37,0,tetapi,,"tetapi -      (conj) but


",tetapi -      (conj) but,,,,,,,,,,,,,,,,TB,NotE,1000,1000,1000,A0,tetapi,Can you list all derivatives of the Indonesian root word tetapi,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
38,0,kami,,"kami -      we; our (excluding the other party)


",kami -      we; our (excluding the other party),,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,kami,Can you list all derivatives of the Indonesian root word kami,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
39,0,bahwa,,"bahwa -      (conj) that ; (n) (classic) nature; char...


",bahwa -      (conj) that ; (n) (classic) nature; char...,,,,,,,,,,,,,,,,BK,SAN,1000,1000,1000,A0,bahwa,Can you list all derivatives of the Indonesian root word bahwa,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
40,0,kepada,,"kepada -      (p) to; toward; for


",kepada -      (p) to; toward; for,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,kepada,Can you list all derivatives of the Indonesian root word kepada,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
41,0,para,,"para -      (p) prefix for reference to groups of pe...


",para -      (p) prefix for reference to groups of pe...,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,para,Can you list all derivatives of the Indonesian root word para,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
42,0,dia,,"dia -      he; she; his; her; him; it; its


",dia -      he; she; his; her; him; it; its,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,dia,Can you list all derivatives of the Indonesian root word dia,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
43,,ia -      he; she; it; his; her; him (= dia),,"mengiakan -      (v) confirm; affirm; approve; condone; e...

",mengiakan -      (v) confirm; affirm; approve; condone; e...,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,ia,Can you list all derivatives of the Indonesian root word ia,https://kbbi.kemdikbud.go.id/entri/ia,https://en.wiktionary.org/wiki/ia#Indonesian,,,
44,0,jika -      (p) if; when; in case; on the condition ...,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,jika,Can you list all derivatives of the Indonesian root word jika,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
45,,apa -      what,,"apakah -      what; is it…whether? (in a question sentence)
apa-apa -      (n) anything
",apakah -      what; is it…whether? (in a question sentence),apa-apa -      (n) anything,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,apa,Can you list all derivatives of the Indonesian root word apa,https://kbbi.kemdikbud.go.id/entri/apa,https://en.wiktionary.org/wiki/apa#Indonesian,,,
46,,semua -      (adv) all; everything; some,,"kesemuanya -      (adj) altogether; all of it; all of them
semuanya -      (n) everything
",,,,,,,kesemuanya -      (adj) altogether; all of it; all of them,semuanya -      (n) everything,,,,,,,,,BK,NotE,1000,1000,1000,A0,semua,Can you list all derivatives of the Indonesian root word semua,https://kbbi.kemdikbud.go.id/entri/semua,https://en.wiktionary.org/wiki/semua#Indonesian,,,
47,,aku -      I; my; me (casual),,"mengakui -      (v) admit; confess; recognize; acknowled...
ku -      I; my; me (casual; = aku)
",mengakui -      (v) admit; confess; recognize; acknowled...,ku -      I; my; me (casual; = aku),,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,aku,Can you list all derivatives of the Indonesian root word aku,https://kbbi.kemdikbud.go.id/entri/aku,https://en.wiktionary.org/wiki/aku#Indonesian,,,
48,,sedang -      (adv) currently …ing; (adj) average; med...,,"sedangkan -      (adv) while; whereas; even though; altho...
sedangan -      (adj) medium; not too big or too small
",,sedangkan -      (adv) while; whereas; even though; altho...,,,sedangan -      (adj) medium; not too big or too small,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,sedang,Can you list all derivatives of the Indonesian root word sedang,https://kbbi.kemdikbud.go.id/entri/sedang,https://en.wiktionary.org/wiki/sedang#Indonesian,,,
49,,tentang -      (p) about; with regard to; concerning; r...,,"menentang -      (v) oppose; resist; confront; contradict...
bertentangan -      (v) be opposite of; contrary to; opposed...
",menentang -      (v) oppose; resist; confront; contradict...,,bertentangan -      (v) be opposite of; contrary to; opposed...,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,tentang,Can you list all derivatives of the Indonesian root word tentang,https://kbbi.kemdikbud.go.id/entri/tentang,https://en.wiktionary.org/wiki/tentang#Indonesian,,,
50,,kalau -      (p) if (casual); when; on the condition ...,,"kalaupun -      (p) even if; even though; although
kalau-kalau -      (p) maybe; perhaps; probably; possibly; ...
",kalaupun -      (p) even if; even though; although,kalau-kalau -      (p) maybe; perhaps; probably; possibly; ...,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,kalau,Can you list all derivatives of the Indonesian root word kalau,https://kbbi.kemdikbud.go.id/entri/kalau,https://en.wiktionary.org/wiki/kalau#Indonesian,,,
51,,antara -      (p) among; between; intermediate,,"perantara -      (n) mediator; intermediary; middleman; a...
perantaraan -      (n) intercession; mediation; intermediat...
",,,,perantara -      (n) mediator; intermediary; middleman; a...,,,,,perantaraan -      (n) intercession; mediation; intermediat...,,,,,,,,BK,NotE,1000,1000,1000,A0,antara,Can you list all derivatives of the Indonesian root word antara,https://kbbi.kemdikbud.go.id/entri/antara,https://en.wiktionary.org/wiki/antara#Indonesian,,,
52,,bukan -      (adv) no; not; false; just the opposite,,"bukanlah -      (p) neither; not either one
membukankan -      (v) deny
membukankan -      (v) deny
",bukanlah -      (p) neither; not either one,membukankan -      (v) deny,,,membukankan -      (v) deny,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,bukan,Can you list all derivatives of the Indonesian root word bukan,https://kbbi.kemdikbud.go.id/entri/bukan,https://en.wiktionary.org/wiki/bukan#Indonesian,,,
53,,tiap -      (adj) each; every (= setiap); (n) key mo...,,"tiap-tiap -      (adj) each; every (= setiap; tiap)
setiap -      every; each; respectively (= tiap; masin...
",tiap-tiap -      (adj) each; every (= setiap; tiap),,,,,,,,,setiap -      every; each; respectively (= tiap; masin...,,,,,,,BK,NotE,1000,1000,1000,A0,tiap,Can you list all derivatives of the Indonesian root word tiap,https://kbbi.kemdikbud.go.id/entri/tiap,https://en.wiktionary.org/wiki/tiap#Indonesian,,,
54,,mungkin -      (adv) probably; maybe,,"memungkinkan -      (v) enable; make possible; bring about; ...
kemungkinan -      (n) possibility; prospect; chance; feasi...
",memungkinkan -      (v) enable; make possible; bring about; ...,,,,,,kemungkinan -      (n) possibility; prospect; chance; feasi...,,,,,,,,,,BK,NotE,1000,1000,1000,A0,mungkin,Can you list all derivatives of the Indonesian root word mungkin,https://kbbi.kemdikbud.go.id/entri/mungkin,https://en.wiktionary.org/wiki/mungkin#Indonesian,,,
55,,pun -      even; also,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,pun,Can you list all derivatives of the Indonesian root word pun,https://kbbi.kemdikbud.go.id/entri/pun,https://en.wiktionary.org/wiki/pun#Indonesian,,,
56,,ketika -      (p) when; at the time; during; while; (n...,,"seketika -      (adv) instant; at that moment; when; whi...
",,,,,,,,,,seketika -      (adv) instant; at that moment; when; whi...,,,,,,,BK,NotE,1000,1000,1000,A0,ketika,Can you list all derivatives of the Indonesian root word ketika,https://kbbi.kemdikbud.go.id/entri/ketika,https://en.wiktionary.org/wiki/ketika#Indonesian,,,
57,0,pernah,,"pernah -      ever; never (with ""tidak"")


","pernah -      ever; never (with ""tidak"")",,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,pernah,Can you list all derivatives of the Indonesian root word pernah,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
58,0,sekarang,,"sekarang -      (adv) now; presently; currently; at this...
sekarang-sekarang -      (adv) at once; immediately; right away

",sekarang -      (adv) now; presently; currently; at this...,sekarang-sekarang -      (adv) at once; immediately; right away,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,sekarang,Can you list all derivatives of the Indonesian root word sekarang,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
59,0,sejak,,"sejak -      since (e.g. sejak dua bulan yang lalu = ...


",sejak -      since (e.g. sejak dua bulan yang lalu = ...,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,sejak,Can you list all derivatives of the Indonesian root word sejak,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
60,0,tanpa,,"tanpa -      (adv) without; not having


",tanpa -      (adv) without; not having,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,tanpa,Can you list all derivatives of the Indonesian root word tanpa,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
61,,paling -      (adj) extreme; most; (v) turn; turn away...,,"memalingkan -      (v) turn away; divert; alter; change cou...
berpaling -      (v) turn; turn away; turn around; switch
",,memalingkan -      (v) turn away; divert; alter; change cou...,berpaling -      (v) turn; turn away; turn around; switch,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,paling,Can you list all derivatives of the Indonesian root word paling,https://kbbi.kemdikbud.go.id/entri/paling,https://en.wiktionary.org/wiki/paling#Indonesian,,,
62,,jangan -      don't (in an imperrative mode),,"jangan-jangan -      (p) perhaps; maybe; let it not be; let's...
jangankan -      (adv) much less; let alone; not to menti...
",jangan-jangan -      (p) perhaps; maybe; let it not be; let's...,,,,,,,,jangankan -      (adv) much less; let alone; not to menti...,,,,,,,,BK,NotE,1000,1000,1000,A0,jangan,Can you list all derivatives of the Indonesian root word jangan,https://kbbi.kemdikbud.go.id/entri/jangan,https://en.wiktionary.org/wiki/jangan#Indonesian,,,
63,,sering -      (adv) often; frequently,,"sering-sering -      (adv) repeatedly; over and over
keserangan -      (n) frequency
",sering-sering -      (adv) repeatedly; over and over,,,,,,keserangan -      (n) frequency,,,,,,,,,,BK,NotE,1000,1000,1000,A0,sering,Can you list all derivatives of the Indonesian root word sering,https://kbbi.kemdikbud.go.id/entri/sering,https://en.wiktionary.org/wiki/sering#Indonesian,,,
64,,mana -      (p) which; where,,"mana-mana -      (adv) anywhere at all; everywhere; which...
manakan -      (p) how (= bagaimana); (n) shortened for...
",mana-mana -      (adv) anywhere at all; everywhere; which...,,,,,,,,manakan -      (p) how (= bagaimana); (n) shortened for...,,,,,,,,BK,NotE,1000,1000,1000,A0,mana,Can you list all derivatives of the Indonesian root word mana,https://kbbi.kemdikbud.go.id/entri/mana,https://en.wiktionary.org/wiki/mana#Indonesian,,,
65,0,kamu -      you; your (casual),,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,4000,A0,kamu,Can you list all derivatives of the Indonesian root word kamu,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
66,,masing,,"masing-masing -      (adv) every; each; respectively; several...


",masing-masing -      (adv) every; each; respectively; several...,,,,,,,,,,,,,,,,BK,NotE,1000,2000,1000,A0,masing,Can you list all derivatives of the Indonesian root word masing,https://kbbi.kemdikbud.go.id/entri/masing,https://en.wiktionary.org/wiki/masing#Indonesian,,,
67,,boleh -      (adv) may; can; may I; possibly; allowed...,,"memperbolehkan -      (v pass) permitted; allowed; enabled
membolehkan -      (v pass) permitted; allowed; enabled
",,memperbolehkan -      (v pass) permitted; allowed; enabled,,,membolehkan -      (v pass) permitted; allowed; enabled,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,boleh,Can you list all derivatives of the Indonesian root word boleh,https://kbbi.kemdikbud.go.id/entri/boleh,https://en.wiktionary.org/wiki/boleh#Indonesian,,,
68,0,ya,,"ya -      yes


",ya -      yes,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,ya,Can you list all derivatives of the Indonesian root word ya,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
69,0,selamat,,"menyelamatkan -      (v) rescue; save; secure; spare; salvage
keselamatan -      (n) safety; prosperity; happiness; welfa...
",,menyelamatkan -      (v) rescue; save; secure; spare; salvage,,,keselamatan -      (n) safety; prosperity; happiness; welfa...,,,,,,,,,,,,BK,ARA,2000,1000,2000,A0,selamat,Can you list all derivatives of the Indonesian root word selamat,https://kbbi.kemdikbud.go.id/entri/,https://en.wiktionary.org/wiki/#Indonesian,,,
70,,siapa -      who; whose,,"siapa-siapa -      whoever; anyone; just anybody
sesiapa -      whoever; anyone; just anybody (= siapa-s...
",siapa-siapa -      whoever; anyone; just anybody,,,,,,,,,sesiapa -      whoever; anyone; just anybody (= siapa-s...,,,,,,,BK,NotE,1000,1000,1000,A0,siapa,Can you list all derivatives of the Indonesian root word siapa,https://kbbi.kemdikbud.go.id/entri/siapa,https://en.wiktionary.org/wiki/siapa#Indonesian,,,
71,,sang -      (p) the (respectful/glorifying title wit...,,"

",,,,,,,,,,,,,,,,,BK,NotE,1000,1000,1000,A0,sang,Can you list all derivatives of the Indonesian root word sang,https://kbbi.kemdikbud.go.id/entri/sang,https://en.wiktionary.org/wiki/sang#Indonesian,,,
72,,kalian -      you (plural),,"sekalian -      (adv) you all; all of them; together; al...
",,,,,,,,,,sekalian -      (adv) you all; all of them; together; al...,,,,,,,BK,NotE,1000,1000,5000,A0,kalian,Can you list all derivatives of the Indonesian root word kalian,https://kbbi.kemdikbud.go.id/entri/kalian,https://en.wiktionary.org/wiki/kalian#Indonesian,,,
73,,mohon -      (v) politely request; ask for; plead for...,,"memohon -      (v) request; ask for; plead for; beg for...
permohonan -      (n) application; petition; request; appe...
",memohon -      (v) request; ask for; plead for; beg for...,,,permohonan -      (n) application; petition; request; appe...,,,,,,,,,,,,,BK,NotE,3000,1000,6000,A0,mohon,Can you list all derivatives of the Indonesian root word mohon,https://kbbi.kemdikbud.go.id/entri/mohon,https://en.wiktionary.org/wiki/mohon#Indonesian,,,
